case_id,raw_wt_dice,clean_wt_dice,raw_tc_dice,clean_tc_dice,raw_et_dice,clean_et_dice,raw_mean_dice,clean_mean_dice,raw_wt_volume,clean_wt_volume,raw_tc_volume,clean_tc_volume,raw_et_volume,clean_et_volume,removed_voxels,removed_in_gt,removed_in_correct_class
BraTS-GLI-00241-000,0.882197380065918,0.8866041898727417,0.8931769728660583,0.9107699394226074,0.9108977317810059,0.9427490234375,0.8954240282376608,0.9133743842442831,55113.0,53939.0,7709.0,6796.0,7229.0,6476.0,1174,303,261
BraTS-GLI-00242-000,0.7015418410301208,0.7011827826499939,0.9798299074172974,0.983888566493988,0.9473139047622681,0.9522721171379089,0.8762285510698954,0.8791144887606303,105795.0,102877.0,55818.0,55241.0,28682.0,28383.0,2918,1072,1021
BraTS-GLI-00243-000,0.9147410988807678,0.9151362776756287,0.5876750946044922,0.5379732251167297,0.6185141801834106,0.5722208619117737,0.7069767912228903,0.6751101215680441,99959.0,98762.0,2397.0,1453.0,2130.0,1189.0,1197,511,387
BraTS-GLI-00246-000,0.9011618494987488,0.9071030020713806,0.94686359167099,0.9508870840072632,0.9300172924995422,0.9366970062255859,0.926014244556427,0.9315623641014099,26947.0,25951.0,15819.0,15111.0,11973.0,11812.0,996,306,242
BraTS-GLI-00247-000,0.8861600756645203,0.89101642370224,0.838415801525116,0.8649626970291138,0.8511701822280884,0.8891472220420837,0.8585820198059082,0.8817087809244791,174854.0,166056.0,53454.0,44868.0,44662.0,41304.0,8798,3157,2343
BraTS-GLI-00249-000,0.9192916750907898,0.9180927276611328,0.9664267897605896,0.9750831127166748,0.9381395578384399,0.9424484372138977,0.9412860075632731,0.9452080925305685,153127.0,151584.0,64781.0,63368.0,35695.0,35380.0,1543,879,29
BraTS-GLI-00250-000,0.9135600924491882,0.9149710536003113,0.9260119199752808,0.9316394925117493,0.9374914169311523,0.9525821208953857,0.9256878097852071,0.9330642223358154,107392.0,106231.0,16070.0,15121.0,15105.0,14644.0,1161,382,369
BraTS-GLI-00251-000,0.7400081157684326,0.8638134002685547,0.9403858780860901,0.9597128629684448,0.8679863214492798,0.8756469488143921,0.8494601051012675,0.8997244040171305,17038.0,13099.0,6294.0,6006.0,3842.0,3776.0,3939,27,15
BraTS-GLI-00253-000,0.7918938994407654,0.7936466336250305,0.8845110535621643,0.9447742700576782,0.8993937373161316,0.9228311777114868,0.8585995634396871,0.8870840271313986,85292.0,84771.0,4315.0,3817.0,3317.0,3162.0,521,83,0
BraTS-GLI-00254-000,0.9181195497512817,0.9194641709327698,0.9649580717086792,0.9648376107215881,0.9563195705413818,0.9582300186157227,0.9464657306671143,0.9475106000900269,115707.0,115102.0,31610.0,31365.0,25776.0,25674.0,605,134,121
BraTS-GLI-00258-000,0.5216013193130493,0.40527793765068054,0.6043879389762878,0.5707345604896545,0.6405240893363953,0.6002452373504639,0.5888377825419108,0.5254192451635996,34800.0,29425.0,2532.0,1935.0,2213.0,1687.0,5375,4300,3240
BraTS-GLI-00259-000,0.9411299228668213,0.9456379413604736,0.96744304895401,0.9791132211685181,0.9482008218765259,0.9557787775993347,0.9522579312324524,0.9601766467094421,111344.0,110110.0,25775.0,25091.0,16624.0,16352.0,1234,108,32
BraTS-GLI-00260-000,0.7890162467956543,0.8625142574310303,0.8881678581237793,0.9505422711372375,0.8489933013916016,0.9161188006401062,0.8420591354370117,0.9097251097361246,128862.0,107218.0,22168.0,19474.0,17457.0,15208.0,21644,1487,21
BraTS-GLI-00261-000,0.9320521950721741,0.9373567700386047,0.9715474247932434,0.9814481139183044,0.9520066380500793,0.9561124444007874,0.9518687526384989,0.9583057761192322,152510.0,150749.0,55883.0,54752.0,36453.0,36152.0,1761,65,7
BraTS-GLI-00262-000,0.7422299385070801,0.7503201961517334,0.877030611038208,0.8985593318939209,0.8615795969963074,0.8947030901908875,0.8269467155138651,0.8478608727455139,26374.0,25799.0,2964.0,2737.0,2740.0,2560.0,575,46,26
BraTS-GLI-00263-000,0.9368358850479126,0.9549552202224731,0.953192412853241,0.9637933373451233,0.9242270588874817,0.9478809833526611,0.938085118929545,0.9555431803067526,98985.0,94036.0,31191.0,29171.0,24639.0,23459.0,4949,674,602
BraTS-GLI-00266-000,0.9292168617248535,0.9305009841918945,0.9609315991401672,0.9642568230628967,0.9076772332191467,0.913425862789154,0.9326085646947225,0.9360612233479818,201675.0,199476.0,84264.0,82561.0,50054.0,49470.0,2199,781,515
BraTS-GLI-00267-000,0.888069748878479,0.8917163014411926,0.9663032293319702,0.9666205644607544,0.9492430090904236,0.9452418684959412,0.9345386624336243,0.934526244799296,126431.0,124616.0,28243.0,27455.0,19661.0,19275.0,1815,392,321
BraTS-GLI-00269-000,0.8798754811286926,0.9032922387123108,0.9297482371330261,0.9352444410324097,0.9054290652275085,0.9085786938667297,0.9050175944964091,0.91570512453715,122733.0,116475.0,35135.0,34393.0,29915.0,29723.0,6258,258,108
BraTS-GLI-00270-000,0.6716944575309753,0.6828740239143372,0.8176450729370117,0.8976888656616211,0.887351393699646,0.9392509460449219,0.7922303080558777,0.8399379452069601,34373.0,33013.0,6830.0,5788.0,5912.0,5317.0,1360,0,0
